TRADEDATE,BOARDID,SHORTNAME,SECID,OPEN,LOW,HIGH,CLOSE,NUMTRADES,VOLRUR,WAPRICE
2016-01-04,CNGD,USDRUB_TOM,USD000UTSTOM,72.89,72.89,72.89,72.89,1,364450000.0,
2016-01-05,CETS,USDRUB_TOM,USD000UTSTOM,72.99,72.82300000000001,73.55,73.316,19706,71061455111.0,73.3345
2016-01-05,CNGD,USDRUB_TOM,USD000UTSTOM,0.0,0.0,0.0,0.0,0,0.0,
2016-01-06,CETS,USDRUB_TOM,USD000UTSTOM,73.318,73.264,75.1,74.76,39080,147357986720.0,74.2731
2016-01-06,CNGD,USDRUB_TOM,USD000UTSTOM,0.0,0.0,0.0,0.0,0,0.0,
2016-01-11,CETS,USDRUB_TOM,USD000UTSTOM,75.721,75.06,76.493,76.211,63579,374734352327.0,75.6643
2016-01-11,CNGD,USDRUB_TOM,USD000UTSTOM,76.1708,75.18,76.3,76.21,25,6201484065.2,
2016-01-12,CETS,USDRUB_TOM,USD000UTSTOM,77.0,75.90100000000001,77.244,77.065,68845,431071882952.0,76.4292
2016-01-12,CNGD,USDRUB_TOM,USD000UTSTOM,76.7208,76.05,76.95,76.05,28,5774989782.0,
2016-01-13,CETS,USDRUB_TOM,USD000UTSTOM,76.812,75.74,76.89699999999999,76.67699999999999,65649,446396767343.0,76.2832
2016-01-13,CNGD,USDRUB_TOM,USD000UTSTOM,77.065,74.78,77.065,76.58,23,3136830115.0,
2016-01-14,CETS,USDRUB_TOM,USD000UTSTOM,76.928,76.051,77.0,76.051,49380,315612420891.0,76.4512
2016-01-14,CNGD,USDRUB_TOM,USD000UTSTOM,76.8,76.24,76.82300000000001,76.7,23,9015993454.0,
2016-01-15,CETS,USDRUB_TOM,USD000UTSTOM,76.426,76.419,77.95,77.60300000000001,68925,413541089692.0,77.2617
2016-01-15,CNGD,USDRUB_TOM,USD000UTSTOM,76.051,76.051,77.71,77.55,39,11244462509.67,
2016-01-18,CETS,USDRUB_TOM,USD000UTSTOM,78.048,78.048,79.43,79.29,61391,375138674724.0,78.8178
2016-01-18,CNGD,USDRUB_TOM,USD000UTSTOM,78.4,76.4244,79.337,79.32,32,7018110774.0,
2016-01-19,CETS,USDRUB_TOM,USD000UTSTOM,78.93,78.063,78.958,78.561,74514,504189576361.0,78.4903
2016-01-19,CNGD,USDRUB_TOM,USD000UTSTOM,79.29,78.22800000000001,79.29,78.85,27,63032640121.5,
2016-01-20,CETS,USDRUB_TOM,USD000UTSTOM,79.298,79.17,82.469,81.4,97465,600217222855.0,80.5604
2016-01-20,CNGD,USDRUB_TOM,USD000UTSTOM,79.2,78.561,81.695,81.0,61,9365320036.5,
2016-01-21,CETS,USDRUB_TOM,USD000UTSTOM,82.303,81.75,85.999,82.63,141492,816417405922.0,83.8344
2016-01-21,CNGD,USDRUB_TOM,USD000UTSTOM,82.3,81.4,85.755,83.072,51,8977382439.4,
2016-01-22,CETS,USDRUB_TOM,USD000UTSTOM,81.593,77.90100000000001,82.094,78.024,109383,652030482825.0,79.7247
2016-01-22,CNGD,USDRUB_TOM,USD000UTSTOM,80.945,77.975,82.63,77.975,46,8448900718.35,
2016-01-25,CETS,USDRUB_TOM,USD000UTSTOM,77.292,76.392,80.169,80.04,110761,615619118362.0,78.9503
2016-01-25,CNGD,USDRUB_TOM,USD000UTSTOM,76.977,76.977,79.709,79.3,36,8305306575.8,
2016-01-26,CETS,USDRUB_TOM,USD000UTSTOM,81.612,77.7,82.3,78.3,125004,726811998478.0,80.10600000000001
2016-01-26,CNGD,USDRUB_TOM,USD000UTSTOM,81.501,76.55,82.135,79.05,32,4893713767.5,
2016-01-27,CETS,USDRUB_TOM,USD000UTSTOM,78.699,76.94,79.475,77.667,94418,467037074438.0,78.4631
2016-01-27,CNGD,USDRUB_TOM,USD000UTSTOM,78.5,78.21300000000001,79.43,78.6,20,7519536744.49,
2016-01-28,CETS,USDRUB_TOM,USD000UTSTOM,77.499,75.473,78.036,76.39699999999999,101961,595553980289.0,76.5126
